iter	Logloss
0	0.3520820897
1	0.1774585347
2	0.09235782833
3	0.05021168054
4	0.02895064592
5	0.01776380514
6	0.01145755799
7	0.007910366382
8	0.005766019145
9	0.004213899822
10	0.003285949912
11	0.002680233862
12	0.002285540929
13	0.00203938636
14	0.001864717236
15	0.001745521063
16	0.001654239181
17	0.001588481586
18	0.001541778874
19	0.001463238902
20	0.001445107985
21	0.0013910277
22	0.001375305583
23	0.001366617812
24	0.001327585919
25	0.001304953648
26	0.001280954783
27	0.001271564497
28	0.001258509752
29	0.001240161676
30	0.001236698296
31	0.001221743488
32	0.001209209098
33	0.001208308369
34	0.001205702009
35	0.001195634287
36	0.001193647587
37	0.001193598628
38	0.001191869558
39	0.001182600111
40	0.001179759608
41	0.001171855498
42	0.001171309452
43	0.001169099604
44	0.001169094781
45	0.001161024729
46	0.001159640896
47	0.001147409385
48	0.001146651711
49	0.001146651604
50	0.001146651517
51	0.001139044522
52	0.001139043971
53	0.001132572944
54	0.001132469655
55	0.001131354656
56	0.001126195609
57	0.001126194897
58	0.001123449073
59	0.001115891031
60	0.001115890945
61	0.001111696971
62	0.001111304106
63	0.001111304083
64	0.001111304062
65	0.00111130404
66	0.001111025495
67	0.001111025422
68	0.001111025415
69	0.001102980318
70	0.001099548341
71	0.001099481458
72	0.001099378799
73	0.001098866563
74	0.001098866487
75	0.001093567161
76	0.001093567139
77	0.001093267429
78	0.001092748933
79	0.0010924748
80	0.001091651385
81	0.001089333265
82	0.001089181057
83	0.001089181057
84	0.001088884969
85	0.001088884966
86	0.001083925778
87	0.001083925765
88	0.001083925753
89	0.001079066785
90	0.001075818653
91	0.001073264785
92	0.001068802638
93	0.001068802516
94	0.001068802419
95	0.001068798356
96	0.001068341753
97	0.001064553387
98	0.001064553386
99	0.001063923758
100	0.001063923758
101	0.001062405284
102	0.001058266349
103	0.001053722597
104	0.001050224194
105	0.001047883168
106	0.001047541596
107	0.001045424572
108	0.001042191808
109	0.001040225291
110	0.00103704749
111	0.001034422317
112	0.001033174496
113	0.001032964438
114	0.001029952273
115	0.001027263784
116	0.001026319998
117	0.001024562121
118	0.001024521107
119	0.001023944572
120	0.001022030303
121	0.001020555805
122	0.00101948981
123	0.001019362024
124	0.001019256745
125	0.001018403843
126	0.001018182333
127	0.001018042256
128	0.001017397539
129	0.001017278296
130	0.001015630957
131	0.001014951685
132	0.001014873627
133	0.001013536293
134	0.001013418273
135	0.001013310291
136	0.001013253256
137	0.001011357406
138	0.001011252582
139	0.001011124179
140	0.001011111785
141	0.001011098267
142	0.001011094116
143	0.001011045891
144	0.001009944939
145	0.001009939774
146	0.001009933214
147	0.00100917606
148	0.001009135696
149	0.001009123229
150	0.001006440316
151	0.001005750778
152	0.001005734276
153	0.0010057323
154	0.001005732267
155	0.001005704674
156	0.001005649414
157	0.001005604459
158	0.001005553547
159	0.001005547567
160	0.001005533027
161	0.001005488036
162	0.001005472796
163	0.001005467243
164	0.001005400559
165	0.001005393676
166	0.001005387638
167	0.001005382409
168	0.001005377677
169	0.00100532754
170	0.00100532754
171	0.001005320938
172	0.00100532089
